Name,Code,Expiry,Chart URL,Last Price,Change,High,Low,Open,Volume,Contract Code,Front Month,Product URL
EURO FX FUTURES,6EH6,"FM
MAR 2026",https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20MAR%202026%20Euro%20FX&venue=0&monthYear=H6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,1.19695,+0.0003,1.2022,1.1962,1.1982,"91,263",6EH6,true,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EG6,FEB 2026,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20FEB%202026%20Euro%20FX&venue=0&monthYear=G6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,1.19545,+0.0004,1.20025,1.1948,1.19875,617,6EG6,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EH6,MAR 2026,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20MAR%202026%20Euro%20FX&venue=0&monthYear=H6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,1.19695,+0.0003,1.2022,1.1962,1.1982,"91,263",6EH6,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EJ6,APR 2026,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20APR%202026%20Euro%20FX&venue=0&monthYear=J6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,1.19875,+0.00055,1.2034,1.1979,1.2014,131,6EJ6,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EK6,MAY 2026,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20MAY%202026%20Euro%20FX&venue=0&monthYear=K6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,-,-,-,-,-,0,6EK6,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EM6,JUN 2026,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20JUN%202026%20Euro%20FX&venue=0&monthYear=M6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,1.20225,+0.00055,1.2072,1.20145,1.2030,782,6EM6,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EU6,SEP 2026,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20SEP%202026%20Euro%20FX&venue=0&monthYear=U6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,1.2097,+0.0034,1.20985,1.2085,1.20985,3,6EU6,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EZ6,DEC 2026,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20DEC%202026%20Euro%20FX&venue=0&monthYear=Z6&year=2026&exchangeCode=XCME&interval=1&dataWidget=true,1.2103,-0.00035,1.2150,1.2103,1.2150,180,6EZ6,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EH7,MAR 2027,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20MAR%202027%20Euro%20FX&venue=0&monthYear=H7&year=2027&exchangeCode=XCME&interval=1&dataWidget=true,-,-,-,-,-,0,6EH7,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EM7,JUN 2027,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20JUN%202027%20Euro%20FX&venue=0&monthYear=M7&year=2027&exchangeCode=XCME&interval=1&dataWidget=true,1.2235,+0.00485,1.2235,1.2235,1.2235,1,6EM7,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EU7,SEP 2027,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20SEP%202027%20Euro%20FX&venue=0&monthYear=U7&year=2027&exchangeCode=XCME&interval=1&dataWidget=true,-,-,-,-,-,0,6EU7,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
EURO FX FUTURES,6EZ7,DEC 2027,https://www.cmegroup.com/apps/cmegroup/widgets/productLibs/esignal-charts.html?type=p&code=6E&title=Chart%20-%20DEC%202027%20Euro%20FX&venue=0&monthYear=Z7&year=2027&exchangeCode=XCME&interval=1&dataWidget=true,-,-,-,-,-,0,6EZ7,false,https://www.cmegroup.com/markets/fx/g10/euro-fx.html
