time_th,open,high,low,close,tick_volume
2024-01-01T07:00:00+0700,1.08289,1.0887,1.07944,1.08154,100550
2024-02-01T07:00:00+0700,1.08087,1.0897000000000001,1.06945,1.08025,820095
2024-03-01T07:00:00+0700,1.07958,1.09807,1.07675,1.07898,703555
2024-04-01T07:00:00+0700,1.07825,1.08846,1.06007,1.06646,847880
2024-05-01T07:00:00+0700,1.06641,1.08945,1.0648900000000001,1.08449,729584
2024-06-01T07:00:00+0700,1.08437,1.09155,1.06656,1.07104,726757
2024-07-01T07:00:00+0700,1.07426,1.09476,1.07095,1.08242,798389
2024-08-01T07:00:00+0700,1.08241,1.12012,1.07771,1.10436,881818
2024-09-01T07:00:00+0700,1.10445,1.12134,1.10016,1.11333,822501
2024-10-01T07:00:00+0700,1.11333,1.11436,1.07608,1.08822,833986
2024-11-01T07:00:00+0700,1.08822,1.09366,1.03333,1.0574,1058774
2024-12-01T07:00:00+0700,1.05652,1.06292,1.03426,1.0352,922206
2025-01-01T07:00:00+0700,1.03504,1.05327,1.01773,1.03596,1063974
2025-02-01T07:00:00+0700,1.02419,1.05282,1.02102,1.03711,913877
2025-03-01T07:00:00+0700,1.04025,1.09542,1.03882,1.08134,1066793
2025-04-01T07:00:00+0700,1.08169,1.15728,1.0778,1.13277,1687048
2025-05-01T07:00:00+0700,1.13245,1.14182,1.10648,1.13459,1185099
2025-06-01T07:00:00+0700,1.13435,1.17869,1.13427,1.17864,1079005
2025-07-01T07:00:00+0700,1.1781,1.18292,1.13997,1.14134,1016264
2025-08-01T07:00:00+0700,1.14147,1.17421,1.13912,1.16836,895604
2025-09-01T07:00:00+0700,1.16932,1.1918,1.16077,1.17324,925762
2025-10-01T07:00:00+0700,1.17319,1.17782,1.15211,1.15347,969223
2025-11-01T07:00:00+0700,1.15293,1.16556,1.14685,1.15951,735135
2025-12-01T07:00:00+0700,1.159,1.18075,1.15889,1.17444,792821
2026-01-01T07:00:00+0700,1.17447,1.20819,1.15767,1.1849,927508
2026-02-01T07:00:00+0700,1.1849,1.18743,1.17755,1.18007,188072
